code,name,div_per_10,total_shares,ex_date,amount
600688,上海石化,0.6,7200000000.0,2001-06-27,432000000.0
600803,新奥股份,1.0,118221713.0,2001-06-29,11822171.3
000420,吉林化纤,1.2,378257464.0,2001-06-28,45390895.68
000623,吉林敖东,2.0,233664600.0,2001-06-29,46732920.0
000419,通程控股,1.0,175508155.0,2001-06-29,17550815.5
600173,卧龙新能,1.8,230000000.0,2001-06-29,41400000.0
000156,华数传媒,0.5,96500000.0,2001-06-28,4825000.0
600657,信达地产,1.0,137752179.0,2001-06-29,13775217.9
600827,百联股份,1.0,244293012.0,2001-06-29,24429301.200000003
000953,中哲精化,0.5,178217841.0,2001-07-02,8910892.05
600141,兴发集团,1.0,160000000.0,2001-06-29,16000000.0
000088,盐田港,1.3,585000000.0,2001-06-29,76050000.0
000758,中色股份,0.5,387200000.0,2001-06-28,19360000.0
000709,河钢股份,3.5,1353829839.0,2001-07-02,473840443.65
600326,西藏天路,0.5,100000000.0,2001-06-29,5000000.0
600197,伊力特,2.0,220500000.0,2001-06-29,44100000.0
000859,国风新材,1.0,235800000.0,2001-06-29,23580000.0
600704,物产中大,2.0,288269038.0,2001-06-29,57653807.6
000798,中水渔业,1.0,252000000.0,2001-06-28,25200000.0
000421,南京公用,1.0,197183005.0,2001-07-02,19718300.5
600009,上海机场,2.93,1391572500.0,2001-06-29,407730742.50000006
600288,大恒科技,1.4,140000000.0,2001-07-02,19599999.999999996
600620,天宸股份,0.5,266774325.0,2001-07-02,13338716.25
000718,苏宁环球,0.8,399739080.0,2001-07-03,31979126.400000002
