date,nav,daily_ret,acc_nav
2022-12-05,1.501,1.76,1.501
2022-12-06,1.5,-0.07,1.5
2022-12-07,1.494,-0.4,1.494
2022-12-08,1.494,0.0,1.494
2022-12-09,1.498,0.27,1.498
2022-12-12,1.486,-0.8,1.486
2022-12-13,1.484,-0.13,1.484
2022-12-14,1.484,0.0,1.484
2022-12-15,1.481,-0.2,1.481
2022-12-16,1.481,0.0,1.481
2022-12-19,1.454,-1.82,1.454
2022-12-20,1.44,-0.96,1.44
2022-12-21,1.437,-0.21,1.437
2022-12-22,1.431,-0.42,1.431
2022-12-23,1.428,-0.21,1.428
2022-12-26,1.434,0.42,1.434
2022-12-27,1.446,0.84,1.446
2022-12-28,1.441,-0.35,1.441
2022-12-29,1.437,-0.28,1.437
2022-12-30,1.443,0.42,1.443
2022-12-31,1.443,0.0,1.443
2023-01-03,1.457,0.97,1.457
2023-01-04,1.461,0.27,1.461
2023-01-05,1.475,0.96,1.475
2023-01-06,1.478,0.2,1.478
2023-01-09,1.486,0.54,1.486
2023-01-10,1.483,-0.2,1.483
2023-01-11,1.481,-0.13,1.481
2023-01-12,1.483,0.14,1.483
2023-01-13,1.498,1.01,1.498
2023-01-16,1.512,0.93,1.512
2023-01-17,1.512,0.0,1.512
2023-01-18,1.512,0.0,1.512
2023-01-19,1.519,0.46,1.519
2023-01-20,1.529,0.66,1.529
2023-01-30,1.528,-0.07,1.528
2023-01-31,1.524,-0.26,1.524
2023-02-01,1.538,0.92,1.538
2023-02-02,1.535,-0.2,1.535
2023-02-03,1.524,-0.72,1.524
2023-02-06,1.515,-0.59,1.515
2023-02-07,1.52,0.33,1.52
2023-02-08,1.512,-0.53,1.512
2023-02-09,1.529,1.12,1.529
2023-02-10,1.524,-0.33,1.524
2023-02-13,1.535,0.72,1.535
2023-02-14,1.539,0.26,1.539
2023-02-15,1.533,-0.39,1.533
2023-02-16,1.52,-0.85,1.52
2023-02-17,1.508,-0.79,1.508
2023-02-20,1.537,1.92,1.537
2023-02-21,1.544,0.46,1.544
2023-02-22,1.536,-0.52,1.536
2023-02-23,1.535,-0.07,1.535
2023-02-24,1.527,-0.52,1.527
2023-02-27,1.524,-0.2,1.524
